Seed from std::time() call: 1397430561

n       k    Min.    Max.    Avg.         Time (ms)
-------------------------------------------------------
15      3    15      32      22.059       0
15      5    18      48      30.742       15
15      10   29      70      44.498       0
15      15   35      81      46.124       0
20      10   40      95      60.587       15
40      10   75      155     105.982      0
40      20   115     255     162.910      15
80      10   122     241     173.476      0
80      20   204     379     273.479      15
80      40   315     564     411.539      31
100     10   151     263     201.981      15
100     20   230     421     318.070      15
100     30   308     526     413.663      31
100     40   373     666     489.007      31
100     50   418     864     549.803      31
100     60   465     835     596.922      31
100     70   496     882     625.412      31
100     80   540     912     649.059      31
100     90   524     870     650.779      31
100     100  534     875     648.417      15
200     10   271     401     328.429      0
200     100  1075    1810    1326.429     31
200     200  1299    2161    1565.089     31
300     10   375     566     444.138      15
300     100  1473    2278    1761.652     31
300     300  2198    3555    2582.563     46
400     10   490     637     554.447      15
400     100  1777    2565    2100.092     31
400     400  3178    4708    3665.039     78
500     10   593     743     663.493      0
500     100  2084    3072    2391.196     31
500     500  4151    6751    4799.647     93
600     10   700     862     771.841      15
600     100  2292    3263    2647.222     31
600     500  5239    8716    5958.516     124
700     10   807     974     874.530      0
700     100  2456    3419    2863.221     46
700     500  6075    8666    6956.369     124
800     10   913     1090    981.186      0
800     100  2689    3703    3085.637     46
800     500  6858    11217   7813.483     140
900     10   1014    1187    1086.144     15
900     100  2848    4105    3280.039     46
900     500  7571    10645   8626.958     140
1000    20   1294    1631    1451.435     15
1000    40   1736    2264    1987.265     31
1000    80   2584    3572    3011.116     46
1000    100  3069    4301    3466.034     46
1000    120  3449    4745    3919.690     62
1000    160  4110    5638    4752.856     62
1000    200  4461    6742    5489.459     93
1000    240  5457    7622    6189.538     93
1000    280  5980    8328    6793.673     109
1000    320  6524    9388    7395.558     109
1000    360  6760    9484    7884.163     109
1000    400  7223    9903    8346.703     140
1000    440  7613    10953   8776.927     124
1000    480  8124    11208   9162.745     156
1000    500  8346    11339   9320.421     140
2000    100  4478    5929    5058.872     78
2000    500  13021   17567   14341.841    203
3000    100  5859    7115    6403.182     78
3000    500  16293   21163   17700.758    249
4000    100  7083    8555    7634.289     93
4000    500  18566   23852   20367.943    265
5000    100  8189    9573    8817.867     125
5000    500  20595   25723   22639.369    296
6000    100  9336    10951   9971.771     125
6000    500  22788   28419   24686.413    312
7000    100  10518   12206   11102.407    156
7000    500  24520   29778   26563.838    328
8000    100  11546   13132   12208.997    171
8000    500  26234   31173   28327.547    359
9000    100  12617   14247   13315.164    171
9000    500  27649   33611   30035.262    374
10000   40   11223   11979   11596.214    140
10000   60   12098   13110   12534.954    156
10000   120  14521   16453   15334.137    203
10000   180  17189   19793   18107.145    218
10000   200  17848   20262   18998.500    249
10000   240  19308   22414   20784.771    265
10000   300  21961   25449   23388.550    281
10000   360  24214   28575   25945.834    328
10000   420  26286   32141   28412.370    359
10000   480  28707   33853   30856.772    406
10000   500  29483   35678   31628.358    406

Took 9.27 seconds to run all cases 1000 times each.
